time, susceptible, infected, recovered
1,0.3609,0.0028579,0.63624
2,0.38449,0.001845,0.61366
3,0.40746,0.0011651,0.59137
4,0.42973,0.00071978,0.56955
5,0.45126,0.00043485,0.5483
6,0.47203,0.00025705,0.52771
7,0.49205,0.00014941,0.5078
8,0.51132,8.5417e-05,0.48859
9,0.52987,4.8545e-05,0.47008
10,0.54772,2.7408e-05,0.45225
11,0.5649,1.5646e-05,0.43509
12,0.58142,8.9324e-06,0.41857
13,0.59732,5.3222e-06,0.40268
14,0.61261,3.1998e-06,0.38739
15,0.62732,2.0029e-06,0.37268
16,0.64148,1.3344e-06,0.35852
17,0.65509,9.3201e-07,0.34491
18,0.66819,7.0087e-07,0.33181
19,0.68079,5.702e-07,0.3192
20,0.69292,4.9543e-07,0.30708
21,0.70458,4.6026e-07,0.29542
22,0.7158,6.5155e-07,0.2842
23,0.72659,1.4173e-06,0.2734
24,0.73698,1.9618e-06,0.26302
25,0.74697,1.8824e-06,0.25303
26,0.75658,1.3282e-06,0.24342
27,0.76582,1.0004e-06,0.23418
28,0.77471,2.1523e-06,0.22528
29,0.78326,6.5892e-06,0.21673
30,0.79148,1.6668e-05,0.20851
31,0.79935,3.9184e-05,0.20061
32,0.80687,9.8795e-05,0.19303
33,0.81392,0.00026287,0.18581
34,0.82019,0.00073626,0.17907
35,0.82469,0.0021327,0.17317
36,0.82448,0.0062794,0.16924
37,0.81116,0.018272,0.17057
38,0.76456,0.049552,0.18589
39,0.65538,0.11196,0.23266
40,0.48994,0.18338,0.32667
41,0.33802,0.2094,0.45258
42,0.24581,0.18234,0.57185
43,0.20295,0.13718,0.65987
44,0.1891,0.096501,0.7144
45,0.19144,0.066088,0.74247
46,0.20327,0.044877,0.75186
47,0.22064,0.030487,0.74887
48,0.24145,0.020753,0.73779
49,0.26432,0.014154,0.72153
50,0.28818,0.0096266,0.70219
51,0.31251,0.0065083,0.68098
52,0.33686,0.004345,0.65879
53,0.36093,0.0028597,0.63621
54,0.38452,0.0018441,0.61363
55,0.40749,0.0011659,0.59134
56,0.42976,0.00071964,0.56952
57,0.45129,0.00043485,0.54827
58,0.47206,0.00025723,0.52768
59,0.49207,0.00014924,0.50778
60,0.51135,8.5608e-05,0.48857
61,0.52989,4.8431e-05,0.47006
62,0.54774,2.7533e-05,0.45223
63,0.56492,1.5544e-05,0.43507
64,0.58144,9.0364e-06,0.41855
65,0.59734,5.2707e-06,0.40266
66,0.61263,3.1813e-06,0.38737
67,0.62734,2.0324e-06,0.37266
68,0.64149,1.3435e-06,0.3585
69,0.65511,9.4432e-07,0.34489
70,0.66821,6.9647e-07,0.33179
71,0.68081,5.4336e-07,0.31919
72,0.69293,4.9015e-07,0.30707
73,0.7046,4.8813e-07,0.2954
74,0.71582,4.923e-07,0.28418
75,0.72661,5.029e-07,0.27339
76,0.73699,5.6543e-07,0.26301
77,0.74698,7.7062e-07,0.25302
78,0.75659,1.2545e-06,0.24341
79,0.76583,2.1983e-06,0.23417
80,0.77472,5.6747e-06,0.22527
81,0.78327,9.479e-06,0.21672
82,0.79149,1.4964e-05,0.2085
83,0.79937,3.5507e-05,0.20059
84,0.80688,9.6519e-05,0.19302
85,0.81394,0.00025739,0.1858
86,0.82023,0.0007209,0.17905
87,0.82478,0.0020866,0.17314
88,0.82471,0.0061471,0.16915
89,0.81178,0.017903,0.17032
90,0.76611,0.04865,0.18524
91,0.65832,0.1105,0.23118
92,0.49353,0.18226,0.32421
93,0.34083,0.20932,0.44986
94,0.24724,0.18322,0.56954
95,0.20353,0.13812,0.65835
96,0.18931,0.097203,0.71349
97,0.19144,0.066566,0.74199
98,0.20314,0.045195,0.75167
99,0.22046,0.0307,0.74884
100,0.24121,0.020896,0.7379
101,0.26403,0.01425,0.72172
102,0.28789,0.009688,0.70243
103,0.31221,0.0065481,0.68124
104,0.33656,0.0043703,0.65907
105,0.36064,0.0028758,0.63648
106,0.38424,0.001854,0.61391
107,0.40722,0.001172,0.59161
108,0.4295,0.00072323,0.56978
109,0.45104,0.00043705,0.54853
110,0.47181,0.00025844,0.52793
111,0.49184,0.00015013,0.50801
