time,susceptible,infected,recovered
1,0.50722,0.00037826,0.49241
2,0.52587,0.00022691,0.47391
3,0.54384,0.00013521,0.45603
4,0.56114,8.08E-05,0.43878
5,0.57779,4.83E-05,0.42216
6,0.59382,2.95E-05,0.40615
7,0.60924,1.82E-05,0.39074
8,0.62408,1.16E-05,0.37591
9,0.63835,7.60E-06,0.36164
10,0.65209,5.19E-06,0.34791
11,0.6653,3.72E-06,0.3347
12,0.67801,2.80E-06,0.32199
13,0.69024,2.22E-06,0.30976
14,0.702,1.84E-06,0.29799
15,0.71332,1.61E-06,0.28668
16,0.72421,1.54E-06,0.27579
17,0.73468,1.65E-06,0.26532
18,0.74476,1.99E-06,0.25524
19,0.75445,2.67E-06,0.24555
20,0.76377,3.81E-06,0.23622
21,0.77274,5.90E-06,0.22726
22,0.78136,9.51E-06,0.21863
23,0.78965,1.51E-05,0.21033
24,0.79762,2.70E-05,0.20236
25,0.80525,5.41E-05,0.1947
26,0.81253,0.00011165,0.18736
27,0.8194,0.00024117,0.18036
28,0.8257,0.00054138,0.17376
29,0.831,0.0012519,0.16775
30,0.83432,0.0029459,0.16274
31,0.83328,0.0069496,0.15977
32,0.8227,0.016087,0.16122
33,0.79269,0.035287,0.17203
34,0.72983,0.069525,0.20065
35,0.62917,0.11467,0.25616
36,0.51066,0.15055,0.3388
37,0.40771,0.15833,0.43396
38,0.33737,0.14138,0.52125
39,0.29855,0.11273,0.58872
40,0.28204,0.084256,0.63371
41,0.28017,0.060729,0.6591
42,0.2879,0.04282,0.66928
43,0.30172,0.029785,0.6685
44,0.31933,0.020496,0.66018
45,0.33926,0.013965,0.64677
46,0.36047,0.0093961,0.63013
47,0.38227,0.0062453,0.61148
48,0.40416,0.0040831,0.59176
49,0.42583,0.0026301,0.57154
50,0.44705,0.0016631,0.55129
51,0.46771,0.001036,0.53126
52,0.48772,0.00063479,0.51164
53,0.50707,0.00038438,0.49255
54,0.52572,0.00023053,0.47405
55,0.5437,0.00013737,0.45617
56,0.561,8.21E-05,0.43891
57,0.57766,4.91E-05,0.42229
58,0.59369,2.99E-05,0.40628
59,0.60912,1.84E-05,0.39086
60,0.62396,1.17E-05,0.37603
61,0.63824,7.72E-06,0.36175
62,0.65198,5.27E-06,0.34801
63,0.6652,3.78E-06,0.3348
64,0.67791,2.85E-06,0.32209
65,0.69014,2.38E-06,0.30985
66,0.70191,2.30E-06,0.29809
67,0.71323,2.28E-06,0.28677
68,0.72412,2.14E-06,0.27587
69,0.7346,1.85E-06,0.2654
70,0.74468,1.47E-06,0.25532
71,0.75438,1.24E-06,0.24562
72,0.76371,1.50E-06,0.23629
73,0.77268,2.76E-06,0.22732
74,0.7813,5.63E-06,0.21869
75,0.7896,1.09E-05,0.21039
76,0.79757,2.02E-05,0.20241
77,0.80522,3.89E-05,0.19474
78,0.81253,8.04E-05,0.18739
79,0.81947,0.00017368,0.18035
80,0.82593,0.00038988,0.17369
81,0.83159,0.00090213,0.16751
82,0.83574,0.002127,0.16213
83,0.83667,0.0050375,0.15829
84,0.83046,0.011777,0.15776
85,0.80929,0.026405,0.1643
86,0.76083,0.054241,0.18493
87,0.67527,0.095809,0.22892
88,0.56213,0.13696,0.30091
89,0.45206,0.15594,0.392
90,0.36915,0.14816,0.48269
91,0.31917,0.12301,0.55782
92,0.29486,0.0941,0.61104
93,0.28785,0.06872,0.64343
94,0.29221,0.048811,0.65898
95,0.30382,0.034078,0.66211
96,0.32001,0.023486,0.6565
97,0.33905,0.016002,0.64495
98,0.35971,0.010766,0.62952
99,0.38118,0.0071462,0.61168
100,0.40289,0.0046698,0.59244
101,0.42447,0.0030044,0.57253
102,0.44566,0.0018993,0.55244
103,0.46632,0.0011816,0.53249
104,0.48637,0.00072421,0.51291
105,0.50574,0.00043816,0.49382
1,0.49722,0.0002784,0.5025
2,0.51629,0.00015764,0.48356
3,0.53464,8.85E-05,0.46527
4,0.5523,4.97E-05,0.44765
5,0.5693,2.79E-05,0.43067
6,0.58566,1.59E-05,0.41433
7,0.60139,9.20E-06,0.3986
8,0.61653,5.47E-06,0.38347
9,0.63109,3.41E-06,0.3689
10,0.6451,2.20E-06,0.35489
11,0.65858,1.49E-06,0.34142
12,0.67155,1.07E-06,0.32845
13,0.68402,8.18E-07,0.31598
14,0.69603,6.64E-07,0.30397
15,0.70757,5.60E-07,0.29243
16,0.71868,4.89E-07,0.28132
17,0.72936,4.58E-07,0.27064
18,0.73964,4.97E-07,0.26036
19,0.74953,6.63E-07,0.25047
20,0.75904,1.04E-06,0.24096
21,0.76819,1.72E-06,0.23181
22,0.77699,3.19E-06,0.22301
23,0.78546,6.13E-06,0.21454
24,0.7936,9.70E-06,0.20639
25,0.80142,1.84E-05,0.19856
