group,time,susceptible,infected,recovered
1,1,0.65109,0.007996,0.34091
1,2,0.65965,0.0071839,0.33317
1,3,0.6683,0.006495,0.32521
1,4,0.67698,0.0059125,0.31711
1,5,0.68563,0.0054214,0.30894
1,6,0.69421,0.0050098,0.30078
1,7,0.70266,0.0046695,0.29267
1,8,0.71094,0.0043956,0.28466
1,9,0.71901,0.0041867,0.2768
1,10,0.72685,0.0040437,0.26911
1,11,0.73441,0.0039591,0.26163
1,12,0.74167,0.0039291,0.2544
1,13,0.74861,0.0039541,0.24744
1,14,0.75518,0.004037,0.24078
1,15,0.76136,0.0041828,0.23446
1,16,0.76711,0.0043984,0.22849
1,17,0.77237,0.0046932,0.22293
1,18,0.7771,0.0050795,0.21782
1,19,0.78123,0.0055747,0.21319
1,20,0.78467,0.0061995,0.20913
1,21,0.78733,0.0069782,0.2057
1,22,0.78907,0.0079386,0.203
1,23,0.78975,0.0091124,0.20113
1,24,0.78923,0.010534,0.20023
1,25,0.78735,0.012235,0.20042
1,26,0.78389,0.014243,0.20186
1,27,0.77863,0.016591,0.20477
1,28,0.77141,0.019272,0.20932
1,29,0.76214,0.022233,0.21563
1,30,0.75085,0.025378,0.22378
1,31,0.73763,0.028572,0.2338
1,32,0.72269,0.031652,0.24566
1,33,0.70656,0.034385,0.25906
1,34,0.68984,0.036563,0.2736
1,35,0.67314,0.038037,0.28882
1,36,0.65706,0.038711,0.30423
1,37,0.6422,0.038545,0.31925
1,38,0.62912,0.037578,0.3333
1,39,0.61812,0.035957,0.34593
1,40,0.60942,0.033815,0.35676
1,41,0.60313,0.0313,0.36557
1,42,0.59919,0.028569,0.37224
1,43,0.59745,0.025794,0.37675
1,44,0.59762,0.023154,0.37923
1,45,0.5995,0.020689,0.37981
1,46,0.60286,0.018401,0.37874
1,47,0.60745,0.016319,0.37623
1,48,0.61304,0.014455,0.3725
1,49,0.61946,0.01281,0.36773
1,50,0.62653,0.011371,0.3621
1,51,0.63415,0.010111,0.35574
1,52,0.64222,0.0090016,0.34878
1,53,0.65057,0.0080456,0.34138
1,54,0.65912,0.0072257,0.33365
1,55,0.66779,0.0065239,0.32569
1,56,0.67649,0.0059261,0.31758
1,57,0.68517,0.0054214,0.30941
1,58,0.69377,0.0050029,0.30123
1,59,0.70223,0.0046668,0.2931
1,60,0.71052,0.0044033,0.28508
1,61,0.7186,0.0042026,0.2772
1,62,0.72644,0.00406,0.2695
1,63,0.73401,0.0039729,0.26202
1,64,0.74128,0.0039403,0.25478
1,65,0.74822,0.0039632,0.24782
1,66,0.7548,0.0040448,0.24115
1,67,0.76099,0.00419,0.23482
1,68,0.76675,0.0044049,0.22885
1,69,0.77203,0.0046985,0.22327
1,70,0.77677,0.0050837,0.21814
1,71,0.78091,0.005577,0.21351
1,72,0.78436,0.0061989,0.20944
1,73,0.78702,0.0069737,0.206
1,74,0.78882,0.0079161,0.20326
1,75,0.78963,0.0090538,0.20132
1,76,0.7892,0.010457,0.20035
1,77,0.78731,0.012173,0.20052
1,78,0.78378,0.014225,0.202
1,79,0.77845,0.016611,0.20494
1,80,0.77121,0.019305,0.20948
1,81,0.76199,0.022254,0.21576
1,82,0.75072,0.025383,0.22389
1,83,0.73738,0.028608,0.23401
1,84,0.72234,0.031707,0.24596
1,85,0.7062,0.034425,0.25937
