group,time,IFlu,IRSV
1,1,5.0158e-05,1.919e-05
1,2,4.9487e-05,1.7161e-05
1,3,4.991e-05,1.6145e-05
1,4,5.1495e-05,1.602e-05
1,5,5.4379e-05,1.6796e-05
1,6,5.8784e-05,1.8628e-05
1,7,6.5037e-05,2.1864e-05
1,8,7.3606e-05,2.7145e-05
1,9,8.5145e-05,3.5612e-05
1,10,0.00010055,4.9271e-05
1,11,0.00012104,7.1701e-05
1,12,0.00014826,0.00010936
1,13,0.00018439,0.00017412
1,14,0.00023226,0.00028795
1,15,0.00029547,0.00049182
1,16,0.00037834,0.00086232
1,17,0.00048566,0.0015402
1,18,0.0006218,0.0027792
1,19,0.00078875,0.0050135
1,20,0.0009822,0.008925
1,21,0.0011855,0.01541
1,22,0.0013643,0.025259
1,23,0.0014696,0.03829
1,24,0.0014616,0.052382
1,25,0.0013411,0.063628
1,26,0.0011545,0.068561
1,27,0.00096018,0.066402
1,28,0.00079427,0.059017
1,29,0.00066673,0.049171
1,30,0.00057297,0.039089
1,31,0.00050414,0.030039
1,32,0.00045201,0.022515
1,33,0.00041029,0.016553
1,34,0.00037461,0.011977
1,35,0.00034223,0.0085477
1,36,0.00031159,0.006023
1,37,0.000282,0.0041949
1,38,0.00025335,0.0028904
1,39,0.00022585,0.0019725
1,40,0.00019987,0.0013358
1,41,0.00017579,0.00089924
1,42,0.0001539,0.00060353
1,43,0.00013438,0.00040511
1,44,0.00011729,0.00027287
1,45,0.00010257,0.00018527
1,46,9.0092e-05,0.00012731
1,47,7.9682e-05,8.896e-05
1,48,7.1137e-05,6.3519e-05
1,49,6.4256e-05,4.6559e-05
1,50,5.8857e-05,3.5208e-05
1,51,5.4782e-05,2.7593e-05
1,52,5.1909e-05,2.2509e-05
1,53,5.0156e-05,1.9191e-05
1,54,4.9485e-05,1.7161e-05
1,55,4.9908e-05,1.6145e-05
1,56,5.1493e-05,1.602e-05
1,57,5.4377e-05,1.6796e-05
1,58,5.8782e-05,1.8629e-05
1,59,6.5034e-05,2.1864e-05
1,60,7.3603e-05,2.7146e-05
1,61,8.5141e-05,3.5613e-05
1,62,0.00010054,4.9272e-05
1,63,0.00012104,7.1704e-05
1,64,0.00014825,0.00010937
1,65,0.00018438,0.00017412
1,66,0.00023225,0.00028794
1,67,0.00029546,0.00049188
1,68,0.00037832,0.00086226
1,69,0.00048563,0.0015402
1,70,0.00062177,0.0027791
1,71,0.00078872,0.0050137
1,72,0.00098213,0.0089246
1,73,0.0011855,0.015411
1,74,0.0013641,0.025258
1,75,0.0014696,0.038294
1,76,0.0014616,0.052379
1,77,0.001341,0.063626
1,78,0.0011545,0.068559
1,79,0.00096017,0.066401
1,80,0.00079425,0.059017
1,81,0.00066672,0.049171
1,82,0.00057296,0.039089
1,83,0.00050414,0.030039
1,84,0.00045201,0.022515
1,85,0.00041029,0.016553
1,86,0.00037461,0.011978
1,87,0.00034223,0.0085478
1,88,0.00031159,0.0060231
1,89,0.000282,0.0041951
1,90,0.00025334,0.0028903
1,91,0.00022584,0.0019726
1,92,0.00019987,0.0013358
1,93,0.00017579,0.00089924
1,94,0.0001539,0.00060355
1,95,0.00013438,0.0004051
1,96,0.00011729,0.00027287
1,97,0.00010257,0.00018528
1,98,9.0091e-05,0.00012731
1,99,7.968e-05,8.8962e-05
1,100,7.1135e-05,6.3519e-05
1,101,6.4255e-05,4.656e-05
1,102,5.8856e-05,3.5209e-05
1,103,5.4781e-05,2.7593e-05
