b0f,b1f,b0r,b1r
2.8,0.1,1.5,0.5
2.8,0.2,1.5,0.5
2.8,0.3,1.5,0.5
3,0.1,1.5,0.5
3,0.2,1.5,0.5
3,0.3,1.5,0.5
3.2,0.1,1.5,0.5
3.2,0.2,1.5,0.5
3.2,0.3,1.5,0.5
3.4,0.1,1.5,0.5
3.4,0.2,1.5,0.5
3.4,0.3,1.5,0.5
3.6,0.1,1.5,0.5
3.6,0.2,1.5,0.5
3.6,0.3,1.5,0.5
2.8,0.1,1.5,0.6
2.8,0.2,1.5,0.6
2.8,0.3,1.5,0.6
3,0.1,1.5,0.6
3,0.2,1.5,0.6
3,0.3,1.5,0.6
3.2,0.1,1.5,0.6
3.2,0.2,1.5,0.6
3.2,0.3,1.5,0.6
3.4,0.1,1.5,0.6
3.4,0.2,1.5,0.6
3.4,0.3,1.5,0.6
3.6,0.1,1.5,0.6
3.6,0.2,1.5,0.6
3.6,0.3,1.5,0.6
2.8,0.1,1.5,0.7
2.8,0.2,1.5,0.7
2.8,0.3,1.5,0.7
3,0.1,1.5,0.7
3,0.2,1.5,0.7
3,0.3,1.5,0.7
3.2,0.1,1.5,0.7
3.2,0.2,1.5,0.7
3.2,0.3,1.5,0.7
3.4,0.1,1.5,0.7
3.4,0.2,1.5,0.7
3.4,0.3,1.5,0.7
3.6,0.1,1.5,0.7
3.6,0.2,1.5,0.7
3.6,0.3,1.5,0.7
2.8,0.1,1.6,0.5
2.8,0.2,1.6,0.5
2.8,0.3,1.6,0.5
3,0.1,1.6,0.5
3,0.2,1.6,0.5
3,0.3,1.6,0.5
3.2,0.1,1.6,0.5
3.2,0.2,1.6,0.5
3.2,0.3,1.6,0.5
3.4,0.1,1.6,0.5
3.4,0.2,1.6,0.5
3.4,0.3,1.6,0.5
3.6,0.1,1.6,0.5
3.6,0.2,1.6,0.5
3.6,0.3,1.6,0.5
2.8,0.1,1.6,0.6
2.8,0.2,1.6,0.6
2.8,0.3,1.6,0.6
3,0.1,1.6,0.6
3,0.2,1.6,0.6
3,0.3,1.6,0.6
3.2,0.1,1.6,0.6
3.2,0.2,1.6,0.6
3.2,0.3,1.6,0.6
3.4,0.1,1.6,0.6
3.4,0.2,1.6,0.6
3.4,0.3,1.6,0.6
3.6,0.1,1.6,0.6
3.6,0.2,1.6,0.6
3.6,0.3,1.6,0.6
2.8,0.1,1.6,0.7
2.8,0.2,1.6,0.7
2.8,0.3,1.6,0.7
3,0.1,1.6,0.7
3,0.2,1.6,0.7
3,0.3,1.6,0.7
3.2,0.1,1.6,0.7
3.2,0.2,1.6,0.7
3.2,0.3,1.6,0.7
3.4,0.1,1.6,0.7
3.4,0.2,1.6,0.7
3.4,0.3,1.6,0.7
3.6,0.1,1.6,0.7
3.6,0.2,1.6,0.7
3.6,0.3,1.6,0.7
2.8,0.1,1.7,0.5
2.8,0.2,1.7,0.5
2.8,0.3,1.7,0.5
3,0.1,1.7,0.5
3,0.2,1.7,0.5
3,0.3,1.7,0.5
3.2,0.1,1.7,0.5
3.2,0.2,1.7,0.5
3.2,0.3,1.7,0.5
3.4,0.1,1.7,0.5
3.4,0.2,1.7,0.5
3.4,0.3,1.7,0.5
3.6,0.1,1.7,0.5
3.6,0.2,1.7,0.5
3.6,0.3,1.7,0.5
2.8,0.1,1.7,0.6
2.8,0.2,1.7,0.6
2.8,0.3,1.7,0.6
3,0.1,1.7,0.6
3,0.2,1.7,0.6
3,0.3,1.7,0.6
3.2,0.1,1.7,0.6
3.2,0.2,1.7,0.6
3.2,0.3,1.7,0.6
3.4,0.1,1.7,0.6
3.4,0.2,1.7,0.6
3.4,0.3,1.7,0.6
3.6,0.1,1.7,0.6
3.6,0.2,1.7,0.6
3.6,0.3,1.7,0.6
2.8,0.1,1.7,0.7
2.8,0.2,1.7,0.7
2.8,0.3,1.7,0.7
3,0.1,1.7,0.7
3,0.2,1.7,0.7
3,0.3,1.7,0.7
3.2,0.1,1.7,0.7
3.2,0.2,1.7,0.7
3.2,0.3,1.7,0.7
3.4,0.1,1.7,0.7
3.4,0.2,1.7,0.7
3.4,0.3,1.7,0.7
3.6,0.1,1.7,0.7
3.6,0.2,1.7,0.7
3.6,0.3,1.7,0.7
